,tmpc,mean_load,min_load,max_load
2016-10-26,4.029166666666667,13381.59375,10730.29,15810.34
2016-10-27,0.6833333333333332,13967.66625,11105.27,16315.4
2016-10-28,6.429166666666667,13331.424583333333,10392.51,15346.16
2016-10-29,8.420833333333333,12279.820416666667,10149.26,14109.81
2016-10-30,12.920833333333334,11813.189583333333,10294.42,14362.31
2016-10-31,7.416666666666667,12830.705833333333,10280.16,14889.89
2016-11-01,5.195833333333334,13296.043333333333,10910.39,15740.58
2016-11-02,14.23375,13030.14125,10616.61,15494.1
2016-11-03,14.198333333333332,13164.693333333335,10460.42,15379.56
2016-11-04,10.772916666666667,12739.402499999998,10517.66,14765.61
2016-11-05,7.125416666666666,12273.965833333334,10625.48,14099.74
2016-11-06,7.7692,12088.0944,10141.86,15009.83
2016-11-07,4.04875,13321.752083333333,10497.37,16082.14
2016-11-08,5.432916666666666,13367.676249999999,11527.23,15667.36
2016-11-09,6.923749999999999,13545.055833333334,11312.94,15909.39
2016-11-10,7.710833333333333,13190.677916666667,10988.04,15677.32
2016-11-11,8.080833333333333,12938.33875,10704.7,15479.56
2016-11-12,3.64625,12497.824166666667,10897.04,14857.15
2016-11-13,8.157083333333333,12140.876250000001,10863.55,14790.5
2016-11-14,8.21125,13068.843333333332,10185.64,15902.67
2016-11-15,7.7941666666666665,13497.792083333334,10544.16,16199.66
2016-11-16,10.266666666666667,13262.964583333334,10808.88,15784.04
2016-11-17,7.819583333333334,13281.542500000001,10913.23,15703.04
2016-11-18,8.0725,13020.169166666667,11010.66,15221.97
2016-11-19,8.72625,12082.488333333333,10379.59,14382.83
2016-11-20,3.6960869565217394,12626.944583333332,9935.28,15755.16
2016-11-21,0.17583333333333337,14437.250833333334,11205.33,17472.72
2016-11-22,0.9079166666666666,14353.839999999998,11420.92,17139.1
2016-11-23,0.9216666666666667,14184.802083333334,11773.15,16767.78
2016-11-24,2.0795833333333333,12843.143333333333,11159.37,15099.94
2016-11-25,4.9075,12876.479166666666,10685.39,15075.25
2016-11-26,3.9812499999999997,12668.949999999999,10661.41,14905.56
2016-11-27,2.3679166666666664,13010.925416666667,10893.65,15962.96
2016-11-28,1.3704166666666666,14188.22375,11281.34,17092.7
2016-11-29,5.761666666666667,14500.029166666667,11716.75,16946.51
2016-11-30,7.345833333333334,13983.065416666666,11292.4,16525.96
2016-12-01,8.074583333333333,13531.39875,11216.41,16150.96
2016-12-02,5.162083333333333,13661.70125,11177.94,16069.45
2016-12-03,4.283333333333333,13125.532083333334,11221.06,15645.75
2016-12-04,1.0029166666666667,13531.159166666666,11653.25,16497.53
2016-12-05,1.3016666666666665,15198.512499999999,12397.49,17843.56
2016-12-06,3.3520833333333333,14707.515833333333,12539.38,17404.56
2016-12-07,2.7145833333333336,14764.770833333334,12256.85,17301.27
2016-12-08,0.8404166666666667,14771.202083333332,12242.7,17408.49
2016-12-09,-1.4191666666666667,15196.08,12872.03,17925.65
2016-12-10,-5.210416666666666,14954.222083333334,13234.47,17512.44
2016-12-11,-4.695833333333334,14858.19375,13007.43,17777.97
2016-12-12,1.3937499999999998,15463.215416666666,12762.11,18149.89
2016-12-13,2.0349999999999997,15042.008333333333,12832.54,17854.3
2016-12-14,0.39375,15053.764166666668,12277.74,18127.84
2016-12-15,-5.263333333333333,16291.728333333333,12953.02,19645.53
2016-12-16,-9.2125,17088.355,14093.85,19686.44
2016-12-17,-4.147916666666666,15786.0775,13493.94,18075.06
2016-12-18,2.8491666666666666,14520.862500000001,12724.54,16877.27
2016-12-19,-6.835416666666667,16249.565,13107.68,19436.67
2016-12-20,-7.845,16420.750833333335,13742.26,18945.67
2016-12-21,-1.8608333333333331,15552.77625,13066.24,18217.68
2016-12-22,0.8266666666666667,15414.969583333334,12568.39,17819.52
2016-12-23,3.2445833333333334,14623.52125,12558.19,16967.52
2016-12-24,3.6199999999999997,13981.714999999998,12047.75,15874.66
2016-12-25,3.231666666666667,12942.55625,11719.68,14586.86
2016-12-26,-1.6829166666666666,14225.585416666667,12099.16,17018.69
2016-12-27,8.129166666666666,13930.61,11768.03,16528.91
2016-12-28,1.7641666666666664,14529.284583333334,12128.66,17330.61
2016-12-29,-1.0395833333333333,15134.919583333334,12335.19,17845.58
2016-12-30,0.5741666666666666,14385.074583333333,12291.67,17022.6
2016-12-31,0.1320833333333333,13998.684166666666,11857.66,16702.02
2017-01-01,2.18,13029.53625,11790.9,15558.37
